/root/venv-cgym/lib/python3.10/site-packages/networkx/readwrite/json_graph/node_link.py:287: FutureWarning: 
The default value will be changed to `edges="edges" in NetworkX 3.6.

To make this warning go away, explicitly set the edges kwarg, e.g.:

  nx.node_link_graph(data, edges="links") to preserve current behavior, or
  nx.node_link_graph(data, edges="edges") for forward compatibility.
  warnings.warn(
Suite benchmark://linux-v0: 150 programs (seed 42, max-ic 120000)
Installing the benchmark://linux-v0 dataset. This may take a few moments ...
[1/150] 102: Oz=1242 RndRed50=1234 (575s, total 10m)
[2/150] 428: Oz=716 RndRed50=696 (6s, total 10m)
[3/150] 482: Oz=110 RndRed50=110 (7s, total 10m)
[4/150] 517: Oz=1355 RndRed50=1355 (10s, total 10m)
[5/150] 605: Oz=2238 RndRed50=2225 (9s, total 10m)
[6/150] 812: Oz=1433 RndRed50=1417 (6s, total 10m)
[7/150] 881: Oz=1642 RndRed50=1636 (9s, total 10m)
[8/150] 938: Oz=1356 RndRed50=1351 (9s, total 11m)
[9/150] 1056: Oz=2966 RndRed50=2961 (8s, total 11m)
[10/150] 1100: Oz=2534 RndRed50=2493 (10s, total 11m)
[11/150] 1183: Oz=728 RndRed50=724 (6s, total 11m)
[12/150] 1228: Oz=192 RndRed50=192 (6s, total 11m)
[13/150] 1259: Oz=1106 RndRed50=1092 (5s, total 11m)
[14/150] 1272: Oz=5137 RndRed50=5132 (13s, total 11m)
[15/150] 1298: Oz=2650 RndRed50=2631 (10s, total 12m)
[16/150] 1347: Oz=4 RndRed50=4 (7s, total 12m)
[17/150] 1590: Oz=1370 RndRed50=1319 (7s, total 12m)
[18/150] 1767: Oz=944 RndRed50=940 (7s, total 12m)
[19/150] 1799: Oz=1859 RndRed50=1854 (9s, total 12m)
[20/150] 1939: Oz=812 RndRed50=810 (7s, total 12m)
[21/150] 1942: Oz=7 RndRed50=7 (4s, total 12m)
[22/150] 2135: Oz=2204 RndRed50=2200 (9s, total 12m)
[23/150] 2227: Oz=561 RndRed50=559 (7s, total 12m)
[24/150] 2283: Oz=5150 RndRed50=5149 (11s, total 13m)
[25/150] 2519: Oz=483 RndRed50=483 (8s, total 13m)
[26/150] 2623: Oz=731 RndRed50=714 (8s, total 13m)
[27/150] 2691: Oz=550 RndRed50=545 (9s, total 13m)
[28/150] 2773: Oz=2067 RndRed50=2055 (8s, total 13m)
[29/150] 2776: Oz=963 RndRed50=947 (10s, total 13m)
[30/150] 2985: Oz=2475 RndRed50=2442 (11s, total 14m)
[31/150] 3136: Oz=16 RndRed50=16 (8s, total 14m)
[32/150] 3142: Oz=7 RndRed50=7 (8s, total 14m)
[33/150] 3255: Oz=29910 RndRed50=26247 (41s, total 15m)
[34/150] 3321: Oz=1668 RndRed50=1664 (7s, total 15m)
[35/150] 3409: Oz=581 RndRed50=581 (9s, total 15m)
[36/150] 3820: Oz=2492 RndRed50=2487 (11s, total 15m)
[37/150] 3845: Oz=889 RndRed50=863 (9s, total 15m)
[38/150] 3846: Oz=6 RndRed50=6 (5s, total 15m)
[39/150] 3996: Oz=237 RndRed50=233 (7s, total 15m)
[40/150] 4224: Oz=745 RndRed50=745 (11s, total 15m)
[41/150] 4326: Oz=278 RndRed50=277 (8s, total 16m)
[42/150] 4505: Oz=891 RndRed50=891 (6s, total 16m)
[43/150] 4569: Oz=684 RndRed50=683 (8s, total 16m)
[44/150] 4830: Oz=8711 RndRed50=8688 (19s, total 16m)
[45/150] 4894: Oz=280 RndRed50=278 (8s, total 16m)
[46/150] 5027: Oz=395 RndRed50=395 (8s, total 16m)
[47/150] 5069: Oz=0 RndRed50=0 (9s, total 17m)
[48/150] 5111: Oz=390 RndRed50=390 (6s, total 17m)
[49/150] 5123: Oz=10161 RndRed50=10151 (22s, total 17m)
[50/150] 5370: Oz=367 RndRed50=366 (5s, total 17m)
[51/150] 5551: Oz=2897 RndRed50=2854 (17s, total 17m)
[52/150] 5684: Oz=661 RndRed50=641 (12s, total 18m)
[53/150] 5965: Oz=320 RndRed50=312 (10s, total 18m)
[54/150] 6034: Oz=340 RndRed50=340 (12s, total 18m)
[55/150] 6046: Oz=202 RndRed50=202 (6s, total 18m)
[56/150] 6057: Oz=1389 RndRed50=1384 (16s, total 18m)
[57/150] 6076: Oz=73 RndRed50=73 (12s, total 19m)
[58/150] 6108: Oz=3297 RndRed50=3282 (14s, total 19m)
[59/150] 6120: Oz=321 RndRed50=319 (11s, total 19m)
[60/150] 6159: Oz=984 RndRed50=984 (36s, total 20m)
[61/150] 6212: Oz=22635 RndRed50=22419 (51s, total 20m)
[62/150] 6218: Oz=540 RndRed50=539 (15s, total 21m)
[63/150] 6372: Oz=1045 RndRed50=1043 (26s, total 21m)
[64/150] 6409: Oz=2332 RndRed50=2314 (28s, total 22m)
[65/150] 6452: Oz=371 RndRed50=353 (11s, total 22m)
[66/150] 6499: Oz=1480 RndRed50=1426 (7s, total 22m)
[67/150] 6545: Oz=1106 RndRed50=1103 (6s, total 22m)
[68/150] 6546: Oz=317 RndRed50=317 (5s, total 22m)
[69/150] 6588: Oz=286 RndRed50=282 (3s, total 22m)
[70/150] 6884: Oz=1819 RndRed50=1815 (7s, total 22m)
[71/150] 6902: Oz=3055 RndRed50=3029 (9s, total 22m)
[72/150] 7022: Oz=1557 RndRed50=1523 (8s, total 23m)
[73/150] 7077: Oz=553 RndRed50=553 (5s, total 23m)
[74/150] 7256: Oz=166 RndRed50=165 (5s, total 23m)
[75/150] 7528: Oz=4173 RndRed50=4157 (7s, total 23m)
[76/150] 7559: Oz=0 RndRed50=0 (3s, total 23m)
[77/150] 7657: Oz=732 RndRed50=727 (5s, total 23m)
[78/150] 7697: Oz=966 RndRed50=962 (4s, total 23m)
[79/150] 7715: Oz=932 RndRed50=931 (5s, total 23m)
[80/150] 7776: Oz=2254 RndRed50=2229 (8s, total 23m)
[81/150] 7820: Oz=394 RndRed50=394 (5s, total 23m)
[82/150] 7856: Oz=2440 RndRed50=2434 (5s, total 23m)
[83/150] 7861: Oz=1711 RndRed50=1709 (5s, total 24m)
[84/150] 7899: Oz=1021 RndRed50=1005 (4s, total 24m)
[85/150] 7990: Oz=6389 RndRed50=6373 (9s, total 24m)
[86/150] 8386: Oz=926 RndRed50=926 (4s, total 24m)
